number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_gamma,params_kernel,state
0,0.3032519958877389,2026-03-26 08:38:07.693274,2026-03-26 08:38:17.798458,0 days 00:00:10.105184,9.846738873614559,0.2904180608409973,2.0,0.0006026889128682511,poly,COMPLETE
1,0.0,2026-03-26 08:38:17.799260,2026-03-26 08:38:38.249804,0 days 00:00:20.450544,0.012674255898937233,,,7.072114131472227,rbf,COMPLETE
2,0.1719494338054369,2026-03-26 08:38:38.250597,2026-03-26 08:38:55.006630,0 days 00:00:16.756033,0.08260808399079603,,,0.0033205591037519565,rbf,COMPLETE
3,0.39598918530662547,2026-03-26 08:38:55.007312,2026-03-26 08:39:09.711961,0 days 00:00:14.704649,11.462107403425028,,,0.0004982752357076451,rbf,COMPLETE
4,0.41011863494613693,2026-03-26 08:39:09.712649,2026-03-26 08:39:21.137002,0 days 00:00:11.424353,84.31013932082456,,,0.0009962513222055108,sigmoid,COMPLETE
5,0.43264757544858484,2026-03-26 08:39:21.137661,2026-03-26 08:39:29.702823,0 days 00:00:08.565162,10.90747583515769,4.7444276862666666,2.0,0.0007122305833333872,poly,COMPLETE
6,0.0435613539988951,2026-03-26 08:39:29.703503,2026-03-26 08:39:47.512146,0 days 00:00:17.808643,0.030786517836196188,,,0.2637333993381525,rbf,COMPLETE
7,0.048240813882645915,2026-03-26 08:39:47.512805,2026-03-26 08:39:59.739240,0 days 00:00:12.226435,0.014857392806279237,,,3.5204810455260365,sigmoid,COMPLETE
8,0.4038560963238247,2026-03-26 08:39:59.739955,2026-03-26 08:40:11.339832,0 days 00:00:11.599877,3.9841905944346854,4.847923138822793,2.0,0.05414413211338523,poly,COMPLETE
9,0.09862296561322302,2026-03-26 08:40:11.340763,2026-03-26 08:40:28.897197,0 days 00:00:17.556434,9.761125443110442,0.979914312095726,2.0,4.067908494359541,poly,COMPLETE
10,0.6113324429907454,2026-03-26 08:40:28.898011,2026-03-26 08:40:45.252479,0 days 00:00:16.354468,225.51702652292096,4.919443779593645,4.0,0.00010907785690006128,poly,COMPLETE
11,0.2791410713833066,2026-03-26 08:40:45.253159,2026-03-26 08:41:02.945181,0 days 00:00:17.692022,805.2988578284474,4.9883921475673265,4.0,0.00011454335435583454,poly,COMPLETE
12,0.11405405402183977,2026-03-26 08:41:02.946108,2026-03-26 08:41:20.449212,0 days 00:00:17.503104,223.32829989222654,3.5577917799202723,4.0,0.007866518415086383,poly,COMPLETE
13,0.4814181335081007,2026-03-26 08:41:20.450087,2026-03-26 08:41:29.394172,0 days 00:00:08.944085,69.36965694483658,3.260475855374772,3.0,0.00010495718070310189,poly,COMPLETE
14,0.49678032704319347,2026-03-26 08:41:29.394872,2026-03-26 08:41:37.903776,0 days 00:00:08.508904,89.9868378895558,2.698100534013988,3.0,0.00012355687065138474,poly,COMPLETE
15,0.41259662977360545,2026-03-26 08:41:37.904474,2026-03-26 08:41:46.941803,0 days 00:00:09.037329,0.7380596468734899,1.8478433526050604,3.0,0.02092086539017046,poly,COMPLETE
16,0.0033538085174563206,2026-03-26 08:41:46.942733,2026-03-26 08:41:58.574577,0 days 00:00:11.631844,701.4364316280329,,,0.21946090918971078,sigmoid,COMPLETE
17,0.45051479695340024,2026-03-26 08:41:58.575249,2026-03-26 08:42:14.004407,0 days 00:00:15.429158,64.37085452571922,2.5806561039910365,4.0,0.0023402512818016964,poly,COMPLETE
18,0.3383354880193325,2026-03-26 08:42:14.005124,2026-03-26 08:42:23.628512,0 days 00:00:09.623388,0.6363705982437758,3.5959322480469647,3.0,0.00018391200025551297,poly,COMPLETE
19,0.4178064580681289,2026-03-26 08:42:23.629169,2026-03-26 08:42:34.983651,0 days 00:00:11.354482,218.3506570226503,,,0.00028641010038102605,sigmoid,COMPLETE
20,0.5078817073115469,2026-03-26 08:42:34.984322,2026-03-26 08:42:44.104280,0 days 00:00:09.119958,36.3380320499218,1.6940386993351872,3.0,0.0026735793752737692,poly,COMPLETE
21,0.49179402917058285,2026-03-26 08:42:44.105039,2026-03-26 08:42:52.719629,0 days 00:00:08.614590,27.93465504188605,1.685682627081257,3.0,0.002052985047184378,poly,COMPLETE
22,0.3676666283073436,2026-03-26 08:42:52.720325,2026-03-26 08:43:09.135759,0 days 00:00:16.415434,151.48306156180888,2.1559840159624275,3.0,0.007120507885866845,poly,COMPLETE
23,0.4666949597125858,2026-03-26 08:43:09.136794,2026-03-26 08:43:17.390185,0 days 00:00:08.253391,35.72281454293408,1.2379935504963036,4.0,0.0002961670541026651,poly,COMPLETE
24,0.5326359763232843,2026-03-26 08:43:17.391049,2026-03-26 08:43:34.010769,0 days 00:00:16.619720,531.4897108770688,2.8284993204689917,3.0,0.0011664494362554388,poly,COMPLETE
25,0.3841699781902297,2026-03-26 08:43:34.011592,2026-03-26 08:43:51.053736,0 days 00:00:17.042144,496.2838693324165,3.9809612821789964,3.0,0.0013430435745477776,poly,COMPLETE
26,0.37021094750687716,2026-03-26 08:43:51.054615,2026-03-26 08:44:03.175207,0 days 00:00:12.120592,357.4964659402336,0.5838517441463718,4.0,0.005105340454477292,poly,COMPLETE
27,0.14581852357912797,2026-03-26 08:44:03.176015,2026-03-26 08:44:10.615148,0 days 00:00:07.439133,24.508693714994067,,,0.011675812600262984,sigmoid,COMPLETE
28,0.31306948247463917,2026-03-26 08:44:10.615905,2026-03-26 08:44:23.030462,0 days 00:00:12.414557,2.352549204951867,,,0.04497638146881835,rbf,COMPLETE
29,0.4409495275604425,2026-03-26 08:44:23.031134,2026-03-26 08:44:40.508859,0 days 00:00:17.477725,969.1734966804048,4.145359552571273,3.0,0.0004685884362490214,poly,COMPLETE
30,0.4352115634209908,2026-03-26 08:44:40.509569,2026-03-26 08:44:57.508346,0 days 00:00:16.998777,245.98731300662766,2.807591395009175,4.0,0.0010136666963509653,poly,COMPLETE
31,0.5636914001038259,2026-03-26 08:44:57.509015,2026-03-26 08:45:07.052310,0 days 00:00:09.543295,111.99560608751403,2.999413681512488,3.0,0.00021298575935425266,poly,COMPLETE
32,0.5964018266183723,2026-03-26 08:45:07.052966,2026-03-26 08:45:16.719710,0 days 00:00:09.666744,133.2051144189713,3.056273437625312,3.0,0.00028065142201797426,poly,COMPLETE
33,0.5886064912625325,2026-03-26 08:45:16.720457,2026-03-26 08:45:26.220987,0 days 00:00:09.500530,131.75265228905843,3.0702907547070097,3.0,0.0002657960259988793,poly,COMPLETE
34,0.46529757777958936,2026-03-26 08:45:26.221645,2026-03-26 08:45:45.524254,0 days 00:00:19.302609,115.34035807264812,,,0.0003063539256434448,rbf,COMPLETE
35,0.45244508784112875,2026-03-26 08:45:45.525147,2026-03-26 08:46:00.938980,0 days 00:00:15.413833,19.151907460531433,3.1355976723881707,3.0,0.00024341543421002368,poly,COMPLETE
36,0.6190195793596067,2026-03-26 08:46:00.940850,2026-03-26 08:46:17.478356,0 days 00:00:16.537506,341.1573551544191,4.074136202529426,3.0,0.0005667258815155085,poly,COMPLETE
37,0.4831032655201543,2026-03-26 08:46:17.479120,2026-03-26 08:46:30.192950,0 days 00:00:12.713830,297.0643937540884,,,0.0006018501143897872,rbf,COMPLETE
38,0.6043378687554513,2026-03-26 08:46:30.193732,2026-03-26 08:46:40.125727,0 days 00:00:09.931995,48.31142155248901,4.350733917721277,3.0,0.00044061962220310876,poly,COMPLETE
39,0.3046200529192105,2026-03-26 08:46:40.126552,2026-03-26 08:46:54.528597,0 days 00:00:14.402045,4.317660421830842,,,0.0007780589621130471,sigmoid,COMPLETE
40,0.4598561771805703,2026-03-26 08:46:54.529381,2026-03-26 08:47:07.512831,0 days 00:00:12.983450,52.09414085814076,,,0.0005172850989131988,rbf,COMPLETE
41,0.6164383942801559,2026-03-26 08:47:07.513510,2026-03-26 08:47:19.318413,0 days 00:00:11.804903,139.94023381127357,4.220227524181637,3.0,0.000388640684793025,poly,COMPLETE
42,0.6112553072368231,2026-03-26 08:47:19.319145,2026-03-26 08:47:35.079235,0 days 00:00:15.760090,392.90773719535923,4.435979154951638,3.0,0.0004165052437167635,poly,COMPLETE
43,0.6378917973122333,2026-03-26 08:47:35.079897,2026-03-26 08:47:50.816507,0 days 00:00:15.736610,382.19812013677006,4.407721885314145,3.0,0.00047138571542039746,poly,COMPLETE
44,0.3138748616445779,2026-03-26 08:47:50.817197,2026-03-26 08:48:08.126792,0 days 00:00:17.309595,495.4358599315731,4.388688384256881,3.0,0.0016377456953632387,poly,COMPLETE
45,0.5679465447319038,2026-03-26 08:48:08.127465,2026-03-26 08:48:23.333998,0 days 00:00:15.206533,305.700805644226,3.8421213087380837,2.0,0.003959785737224822,poly,COMPLETE
46,0.6556862744613791,2026-03-26 08:48:23.334671,2026-03-26 08:48:36.422382,0 days 00:00:13.087711,432.60929324309194,4.572553683670094,3.0,0.00015715379292116755,poly,COMPLETE
47,0.5879009547523975,2026-03-26 08:48:36.423098,2026-03-26 08:48:48.858562,0 days 00:00:12.435464,743.4809763781429,4.655245424488183,2.0,0.00015963424702816664,poly,COMPLETE
48,0.25277645643657226,2026-03-26 08:48:48.859236,2026-03-26 08:49:00.341289,0 days 00:00:11.482053,0.18722033988054518,4.611051861767207,3.0,0.00010161190926873124,poly,COMPLETE
49,0.0967019834537745,2026-03-26 08:49:00.341965,2026-03-26 08:49:17.882277,0 days 00:00:17.540312,225.25432447501342,4.985646832178493,2.0,1.9629523071818848,poly,COMPLETE
